seed,noV,nodeCnt,supplynodes,demandnodes,totalSupply,avgFC,DSSPiterations,DSSPTime,DSSPpsi,DSSPgbestObj,FixScaniterations,FixScantime,FixScanpsi,FixScangbestObj,PSOiterations,PSOtime,PSOpsi,PSOgBestObj,PSODSSPGap,PSObeatDSSP,PSOFSGap,PSObeatFS
33,5732,100,32,25,36430,4001.784697,700,27.91323641,1,2001471.623,4590,175.5179273,0.25,1860411.864,55037,2130.03388,0.387130606,1809142.245,10.63%,1,2.83%,1
34,5330,100,33,25,36628,4075.461673,990,32.53244685,1,1992593.982,4803,158.7289303,1,1992593.982,33040,1128.62631,0.185407511,1818712.873,9.56%,1,9.56%,1
35,5522,100,31,19,27238,4010.427054,675,25.30374855,1,1677006.594,3748,137.0515491,0.25,1491473.391,68237,2522.989776,0.269673431,1519111.498,10.39%,1,-1.82%,0
36,3386,100,42,18,27974,3937.936353,435,8.84176452,1,2017654.985,3450,66.64646118,0.25,1947852.133,46152,950.3637443,0.113393692,1791434.57,12.63%,1,8.73%,1
37,6816,100,36,13,18988,3995.284939,1287,58.21901279,1,1570844.221,4880,218.5839466,0.5,1521931.071,52472,2409.028014,1.325094339,1420003.389,10.62%,1,7.18%,1
38,6402,100,31,19,28470,4022.149979,1196,51.2332823,1,1571077.144,4386,186.2374998,0.25,1556523.626,53150,2272.965617,0.489905145,1465730.418,7.19%,1,6.19%,1
39,2234,100,33,19,27226,3975.038526,328,4.347248244,1,1894069.716,1540,19.47676105,0.5,1732023.058,27893,363.2169134,1.584541609,1710539.826,10.73%,1,1.26%,1
40,4648,100,28,24,34479,4063.10192,1238,35.24825352,1,2004637.265,4709,130.0886854,1.25,1734528.214,40412,1185.714976,0.184625944,1724125.182,16.27%,1,0.60%,1
41,3894,100,28,24,34386,4028.519389,500,11.72436735,1,1823520.088,2773,64.96747477,1,1823520.088,41674,988.2802018,0.073871897,1724335.918,5.75%,1,5.75%,1
42,6402,100,35,19,27702,4010.118365,724,30.55483253,1,1652359.564,4205,177.2832791,0.5,1604826.534,58292,2490.944063,0.758416244,1577012.47,4.78%,1,1.76%,1
43,572,100,37,21,33670,3829.4433,140,0.470277546,1,2606275.588,526,1.80170882,1,2606275.588,6725,24.09260158,0.17695468,2541931.892,2.53%,1,2.53%,1
44,4162,100,20,21,30564,3915.693606,961,23.6734914,1,1606858.801,3519,87.01327349,0.75,1550901.982,25266,694.2292922,1.019804819,1428685.831,12.47%,1,8.55%,1
45,2836,100,37,27,41522,4027.112626,510,9.205858696,1,2367501.267,2670,44.10183804,0.5,2309183.9,47344,827.2771683,0.211170031,2172882.398,8.96%,1,6.27%,1
46,8816,100,32,21,30266,3998.305163,1786,104.3756307,1,1708892.889,8865,502.3466171,0.25,1637538.818,44557,2698.969806,0.208148795,1581914.986,8.03%,1,3.52%,1
47,3612,100,29,20,30385,4053.544909,403,9.002991848,1,1766363.751,1913,41.20933242,0.25,1593211.336,21526,490.7797098,0.194999631,1558292.18,13.35%,1,2.24%,1
48,5516,100,28,21,33865,3956.092185,605,24.77173709,1,1702972.507,4073,145.0439907,0.25,1638892.202,50218,1812.626708,0.230368798,1514077.833,12.48%,1,8.24%,1
49,846,100,28,19,27813,3994.099767,101,0.531556967,1,2197595.519,797,3.88489902,1.25,2135225.102,12231,62.10890834,0.550217031,2019240.183,8.83%,1,5.74%,1
50,5026,100,39,20,30503,3914.336416,1065,33.71287356,1,2007554.628,4312,129.1043038,0.75,1814588.964,36497,1156.492205,0.816394401,1777374.014,12.95%,1,2.09%,1
51,2560,100,27,26,36467,4001.308163,488,7.599960025,1,2038620.038,2470,36.0332754,0.25,1951713.247,18153,282.3883874,0.315340338,1890454.383,7.84%,1,3.24%,1
52,9690,100,42,17,27740,3985.425949,1448,95.04079526,1,1805887.615,8840,562.0285737,0.75,1742403.868,54634,3540.655482,0.107780439,1614822.484,11.83%,1,7.90%,1
53,6186,100,32,17,24525,3981.134894,1187,47.87257716,1,1500936.302,5716,230.9248495,1,1500936.302,56992,2341.550672,0.263060147,1433172.194,4.73%,1,4.73%,1
54,9062,100,24,23,31381,3987.900114,1458,88.82748845,1,1543483.545,8244,516.8405174,0.5,1507805.782,62907,4046.024894,0.650248068,1447114.347,6.66%,1,4.19%,1
55,1074,100,24,24,34723,4087.825482,77,0.546005827,1,2415707.362,884,5.790812998,0.25,2262939.896,17247,108.3691492,0.34224341,2130483.602,13.39%,1,6.22%,1
56,9570,100,26,17,24950,3978.839936,1119,73.94304569,1,1570046.66,8979,588.0174651,0.5,1413956.562,80886,5336.315868,1.00223308,1305690.274,20.25%,1,8.29%,1
57,610,100,28,20,28087,4008.231307,93,0.367246836,1,2364700.629,480,1.796856538,0.75,2304717.274,9577,37.43652096,0.151369593,2123764,11.34%,1,8.52%,1
58,5832,100,25,19,27707,3988.911819,1046,39.7689588,1,1627967.37,3836,151.2993434,0.75,1453171.788,58137,2302.562234,0.065126482,1361610.723,19.56%,1,6.72%,1
59,2372,100,36,14,20307,3969.597239,279,4.108511726,1,1781880.701,1954,28.33339578,0.5,1683976.607,24715,339.446069,0.266169846,1659986.547,7.34%,1,1.45%,1
60,3184,100,34,17,24994,4029.493961,448,8.884629806,1,1874427.356,2596,52.31962388,0.25,1729302.76,25844,483.1779629,0.193422773,1666301.626,12.49%,1,3.78%,1
